Name,Age,Overall,Nationality,Club,Value,Wage,Preferred Foot,Jersey Number,Position
Ximo Miralles,22,60,Spain,AD Alcorcón,€230K,€1K,Right,31.0,GK
I. Furu,24,60,Norway,Ranheim Fotball,€240K,€1K,Left,18.0,LCB
J. Fryer,22,60,England,Carlisle United,€210K,€4K,Right,1.0,GK
M. Godinho,21,60,Canada,Heart of Midlothian,€350K,€1K,Right,26.0,RB
F. Hörberg,19,60,Sweden,Trelleborgs FF,€350K,€1K,Right,20.0,RM
A. Calver,22,60,Australia,Sydney FC,€230K,€1K,Right,2.0,RB
J. Tymon,19,60,England,Stoke City,€400K,€2K,Left,12.0,LWB
G. Corbo,18,60,Italy,Bologna,€375K,€2K,Right,25.0,CB
Lombo,19,60,Spain,CD Leganés,€230K,€1K,Right,34.0,GK
T. Elšnik,20,60,Slovenia,Mansfield Town,€350K,€4K,Left,20.0,CM
D. Rasak,22,60,Poland,Wisła Płock,€250K,€1K,Right,6.0,CDM
A. Peláez,24,60,Mexico,Cruz Azul,€210K,€2K,Right,21.0,GK
E. Segberg,21,60,Norway,IK Start,€400K,€1K,Right,23.0,LCM
R. Hironaga,28,60,Japan,Sanfrecce Hiroshima,€170K,€2K,Left,21.0,GK
K. Böhnlein,28,60,Germany,TSV 1860 München,€170K,€1K,Left,34.0,CDM
S. Atakayi,19,60,Finland,Rangers FC,€450K,€3K,Right,45.0,RM
A. Angulo,22,60,Colombia,Itagüí Leones FC,€350K,€1K,Right,3.0,CB
A. Nguiamba,19,60,France,AS Nancy Lorraine,€400K,€1K,Left,20.0,CDM
A. Whitmore,22,60,England,Grimsby Town,€240K,€2K,Right,25.0,CB
T. van de Berg,20,60,Netherlands,Heracles Almelo,€250K,€1K,Right,30.0,CB
M. Belkheir,19,60,Algeria,Brescia,€450K,€1K,Left,27.0,ST
M. Okazaki,19,60,Japan,FC Tokyo,€400K,€1K,Right,29.0,CB
A. Vogliacco,19,60,Italy,Padova,€325K,€4K,Right,29.0,CB
Heo Jae Won,34,60,Korea Republic,Jeonnam Dragons,€60K,€1K,Right,38.0,CB
Liao Bochao,30,60,China PR,Tianjin TEDA FC,€150K,€2K,Right,28.0,RB
M. Rauschenberg,26,60,Denmark,IF Brommapojkarna,€210K,€1K,Right,29.0,CB
S. Murillo,24,60,Colombia,Alianza Petrolera,€230K,€1K,Left,4.0,LB
F. Çakır,23,60,Turkey,Medipol Başakşehir FK,€210K,€2K,Right,55.0,GK
P. Ruiz,19,60,Argentina,Real Salt Lake,€450K,€1K,Left,31.0,LW
Guo Quanbo,20,60,China PR,Beijing Sinobo Guoan FC,€260K,€1K,Right,25.0,GK
N. Ferguson,17,60,England,West Bromwich Albion,€375K,€2K,Right,36.0,CB
Algobia,19,60,Spain,Rayo Vallecano,€450K,€1K,Right,35.0,CM
A. Favaro,22,60,Italy,Padova,€210K,€1K,Right,12.0,GK
T. Moniwa,36,60,Japan,Cerezo Osaka,€30K,€1K,Right,3.0,CB
J. Gibbons,20,60,England,Port Vale,€240K,€2K,Right,2.0,RB
R. Yamasaki,25,60,Japan,Shonan Bellmare,€260K,€1K,Left,38.0,ST
G. Maris,22,60,England,Cambridge United,€280K,€2K,Right,18.0,LDM
O. Okungbowa,24,60,Austria,SKN St. Pölten,€240K,€2K,Right,16.0,CDM
K. Krasniqi,22,60,Kosovo,VfL Osnabrück,€300K,€1K,Right,29.0,CM
E. Weeger,21,60,Germany,TSV 1860 München,€250K,€1K,Right,2.0,RB
B. Mirelis,19,60,Chile,Universidad de Chile,€350K,€1K,Right,32.0,CB
N. Watanabe,23,60,Japan,VfR Aalen,€280K,€1K,Right,20.0,RM
R. Ljubicic,18,60,Austria,SKN St. Pölten,€300K,€1K,Right,39.0,CM
J. Forster,24,60,Scotland,Cheltenham Town,€230K,€2K,Right,23.0,RCB
A. Santos,23,60,Brazil,Yeovil Town,€280K,€1K,Right,30.0,RM
J. Molina,25,60,Colombia,Deportivo Pasto,€270K,€1K,Right,19.0,ST
Long Cheng,23,60,China PR,Henan Jianye FC,€230K,€2K,Right,2.0,LCB
O. Olomola,20,60,England,Yeovil Town,€350K,€2K,Right,24.0,ST
K. Arthur,22,60,Ghana,Macclesfield Town,€270K,€1K,Right,22.0,RM
A. Majrashi,18,60,Saudi Arabia,Al Shabab,€375K,€2K,Right,26.0,RB
W. Parra,23,60,Colombia,Independiente Medellín,€290K,€1K,Right,6.0,RCM
O. Alseth,23,60,Norway,Ranheim Fotball,€240K,€1K,Right,5.0,RB
J. Ortíz,19,60,Colombia,Deportivo Pasto,€400K,€1K,Right,29.0,RCB
Matis Carvalho,19,60,Portugal,Toulouse Football Club,€300K,€1K,Right,40.0,GK
David Gil,24,60,Spain,Cádiz CF,€200K,€1K,Left,13.0,GK
E. List,21,60,England,Gillingham,€280K,€1K,Right,15.0,ST
J. Mukena,18,60,Belgium,Watford,€375K,€3K,Right,48.0,CB
P. Vincenti,31,60,England,Macclesfield Town,€180K,€2K,Right,20.0,CAM
M. Salazar,25,60,Belize,Montreal Impact,€250K,€1K,Right,19.0,RW
F. Rossi,27,60,Italy,Atalanta,€180K,€3K,Right,31.0,GK
P. Kühn,25,60,Germany,VfL Osnabrück,€180K,€1K,Right,22.0,GK
U. Saracco,24,60,Italy,Cosenza,€210K,€1K,Right,22.0,GK
T. Königsmann,21,60,Germany,SpVgg Greuther Fürth,€210K,€1K,Right,41.0,GK
J. Pearson,25,60,England,Macclesfield Town,€210K,€1K,Right,19.0,RB
K. Onose,25,60,Japan,Gamba Osaka,€260K,€2K,Right,50.0,RM
C. Zesiger,20,60,Switzerland,Grasshopper Club Zürich,€425K,€2K,Right,22.0,LCB
G. Mainero,23,60,Argentina,Vélez Sarsfield,€300K,€2K,Right,7.0,RW
Adrián,22,60,Spain,Elche CF,€230K,€1K,Right,30.0,GK
S. Tanasijevic,21,60,Serbia,Chievo Verona,€240K,€2K,Right,3.0,CB
M. Tonge,35,60,England,Port Vale,€90K,€2K,Right,18.0,CM
R. Garay,21,60,Argentina,Club Atlético Aldosivi,€450K,€1K,Right,17.0,CM
V. van den Bogert,18,60,Netherlands,Willem II,€290K,€1K,Right,27.0,CB
A. De Francesco,23,60,Italy,Spezia,€290K,€1K,Right,18.0,CM
I. Camara,17,60,France,Red Star FC,€425K,€1K,Right,35.0,ST
A. Kay,35,60,England,Port Vale,€50K,€2K,Right,6.0,CDM
N. Cowburn,23,60,Australia,Newcastle Jets,€230K,€1K,Right,16.0,LB
M. Eberwein,22,60,Germany,SC Fortuna Köln,€300K,€1K,Right,14.0,CAM
I. Aaneba,19,60,France,RC Strasbourg Alsace,€300K,€1K,Right,33.0,RB
C. Kountouriotis,20,60,Greece,Panathinaikos FC,€325K,€1K,Right,77.0,RW
M. Janssen,19,60,Netherlands,De Graafschap,€250K,€1K,Right,32.0,CB
M. Kanabah,25,60,Saudi Arabia,Al Batin,€230K,€2K,Left,12.0,CDM
J. Karlstrøm,21,60,Norway,Tromsø IL,€325K,€1K,Right,28.0,GK
G. Byers,22,60,Scotland,Swansea City,€300K,€4K,Right,28.0,CM
Lin Liangming,21,60,China PR,UD Almería,€400K,€1K,Right,39.0,RM
A. Putna,23,60,United States,Real Salt Lake,€230K,€1K,Right,51.0,GK
Yang Qipeng,31,60,China PR,Tianjin TEDA FC,€130K,€2K,Right,29.0,GK
Hu Ruibao,21,60,China PR,Guangzhou Evergrande Taobao FC,€270K,€2K,Left,30.0,CB
Caio Marcelo,20,60,Brazil,Orlando Pirates,€325K,€1K,Right,36.0,CB
J. Carroll,26,60,Republic of Ireland,Cambridge United,€200K,€2K,Left,3.0,LB
S. Fraser,23,60,Scotland,Burton Albion,€325K,€2K,Left,7.0,LCM
P. Posipal,30,60,Germany,SV Meppen,€150K,€1K,Right,25.0,CDM
R. Fulton,22,60,Scotland,Hamilton Academical FC,€210K,€1K,Left,23.0,GK
M. Herrera,19,60,Argentina,San Lorenzo de Almagro,€350K,€1K,Right,42.0,RB
A. Sicker,21,60,Germany,Holstein Kiel,€290K,€1K,Left,2.0,LB
V. Drkušić,18,60,Slovenia,SC Heerenveen,€375K,€1K,Right,27.0,CB
D. Chávez,23,60,Mexico,Tiburones Rojos de Veracruz,€270K,€1K,Right,22.0,ST
J. Maddox,19,60,England,Cheltenham Town,€450K,€1K,Right,20.0,CAM
R. Strain,21,60,Australia,Adelaide United,€260K,€1K,Right,4.0,RB
R. Germain,23,60,Japan,Vegalta Sendai,€290K,€1K,Right,19.0,ST
M. Komenda,21,60,Germany,SV Meppen,€325K,€1K,Left,6.0,LCB
M. Seidel,23,60,Germany,1. FC Magdeburg,€240K,€1K,Right,12.0,GK
M. Kristensen,21,60,Denmark,Esbjerg fB,€350K,€1K,Right,26.0,RW
R. Izumi,24,60,Japan,Nagoya Grampus,€270K,€1K,Right,29.0,LCB
J. Valencia,18,60,Colombia,Millonarios FC,€425K,€1K,Left,16.0,ST
Leja,23,60,Spain,Granada CF,€240K,€1K,Right,35.0,GK
K. Athiu,25,60,South Sudan,Melbourne Victory,€260K,€2K,Right,7.0,ST
Y. Suzuki,24,60,Japan,Kawasaki Frontale,€260K,€1K,Right,27.0,RM
I. Baba,22,60,Ghana,RCD Mallorca,€325K,€1K,Right,28.0,CM
J. Illanes,21,60,Argentina,Argentinos Juniors,€270K,€1K,Right,21.0,CB
M. Batmaz,18,60,Turkey,Karlsruher SC,€375K,€1K,Right,31.0,ST
B. Al Baqi,28,60,Saudi Arabia,Al Ahli,€170K,€4K,Right,66.0,GK
T. Hawkridge,28,60,England,Notts County,€210K,€3K,Right,18.0,RM
V. Demaku,18,60,Austria,FK Austria Wien,€375K,€1K,Right,5.0,CDM
C. Sánchez,18,60,Cuba,Real Sporting de Gijón,€350K,€1K,Left,30.0,GK
N. Janvier,19,60,France,Stade Rennais FC,€450K,€2K,Left,35.0,CAM
C. Frommann,20,60,Germany,SC Freiburg,€375K,€2K,Right,37.0,GK
F. Robert,29,60,France,Forest Green Rovers,€200K,€3K,Right,28.0,CAM
S. Al Dosari,26,60,Saudi Arabia,Al Taawoun,€220K,€3K,Right,27.0,RM
L. Polvani,23,60,Italy,Empoli,€240K,€2K,Right,48.0,CB
A. Krysiak,28,60,Poland,FK Bodø/Glimt,€150K,€1K,Right,12.0,GK
B. Moore,26,60,United States,Rochdale,€190K,€1K,Right,22.0,GK
M. Peano,19,60,Argentina,Unión de Santa Fe,€375K,€1K,Right,34.0,GK
N. Diallo,22,60,France,Stade Rennais FC,€290K,€3K,Left,36.0,LB
A. Fejzullahu,25,60,Albania,Neuchâtel Xamax,€230K,€1K,Right,31.0,RB
D. Johnson,25,60,England,Motherwell,€270K,€1K,Right,24.0,LS
Jiang Ning,31,60,China PR,Hebei China Fortune FC,€180K,€2K,Right,7.0,CM
H. Narzary,24,60,India,,€0,€0,Left,19.0,LM
S. Ntiya-Ntiya,21,60,South Africa,Kaizer Chiefs,€260K,€1K,Left,36.0,LB
Zhang Mengqi,28,60,China PR,Guizhou Hengfeng FC,€170K,€2K,Right,15.0,CDM
L. Czyborra,19,60,Germany,Heracles Almelo,€400K,€1K,Left,3.0,LB
M. Gneba,19,60,France,Amiens SC,€400K,€2K,Right,32.0,RW
D. Bulman,39,60,England,Crawley Town,€50K,€1K,Right,21.0,CM
F. Brener,20,60,Argentina,Belgrano de Córdoba,€400K,€2K,Right,7.0,RM
M. Viviani,17,60,Italy,Brescia,€400K,€1K,Right,24.0,CDM
W. Kuzain,19,60,United States,Sporting Kansas City,€400K,€1K,Left,75.0,CDM
M. Erboğa,19,60,Turkey,Kasimpaşa SK,€350K,€1K,Right,19.0,ST
G. Bizzotto,21,60,Italy,Cittadella,€350K,€1K,Left,16.0,CF
M. Skenderović,20,60,Montenegro,TSG 1899 Hoffenheim,€400K,€4K,Left,35.0,ST
Sergio García,20,60,Spain,Real Zaragoza,€260K,€1K,Right,31.0,GK
J. Ngando,18,60,Cameroon,Amiens SC,€325K,€2K,Right,36.0,LW
J. Illum,26,60,Denmark,Vendsyssel FF,€250K,€2K,Right,8.0,ST
V. Cabezas,20,60,Colombia,Deportivo Pasto,€325K,€1K,Right,12.0,GK
R. Çağıran,23,60,Turkey,Yeni Malatyaspor,€280K,€2K,Right,77.0,CDM
E. Katayama,26,60,Japan,Cerezo Osaka,€200K,€1K,Right,16.0,RB
S. Arnold,28,60,England,Shrewsbury,€170K,€1K,Right,15.0,GK
R. Ziegele,21,60,Germany,VfL Wolfsburg,€425K,€4K,Right,43.0,CB
E. Çelenk,29,60,Turkey,BB Erzurumspor,€200K,€2K,Left,89.0,LM
C. Cooke,21,60,England,Peterborough United,€325K,€1K,Right,14.0,CM
T. Johnson,19,60,England,Southampton,€350K,€3K,Right,51.0,RM
L. Palmiero,22,60,Italy,Cosenza,€350K,€6K,Right,6.0,CM
F. Ugrinic,19,60,Switzerland,FC Luzern,€450K,€1K,Right,35.0,CM
M. Hausjell,19,60,Austria,FC Admira Wacker Mödling,€400K,€1K,Right,24.0,RM
N. Plume,21,60,Germany,VfL Sportfreunde Lotte,€280K,€1K,Right,20.0,CDM
H. Nakabayashi,32,60,Japan,Sanfrecce Hiroshima,€120K,€1K,Left,34.0,GK
J. Wind,19,60,Denmark,FC København,€450K,€2K,Right,23.0,ST
I. Łasicki,23,60,Poland,Wisła Płock,€250K,€6K,Right,26.0,CB
G. Guiffrey,20,60,Argentina,Gimnasia y Esgrima La Plata,€325K,€2K,Left,24.0,CB
L. Woolfenden,19,60,England,Swindon Town,€280K,€1K,Right,32.0,LCB
T. Buhagiar,20,60,Australia,Sydney FC,€375K,€1K,Right,12.0,CAM
J. Hunt,27,60,England,Stevenage,€170K,€2K,Left,3.0,LB
Wang Fei,25,60,China PR,Henan Jianye FC,€210K,€2K,Right,23.0,RB
J. Cacciabue,20,60,Argentina,Newell's Old Boys,€350K,€2K,Right,31.0,RDM
Z. Brault-Guillard,19,60,Canada,Olympique Lyonnais,€400K,€3K,Right,12.0,RB
J. Ebot-Etchi,22,60,Germany,VfL Sportfreunde Lotte,€240K,€1K,Right,21.0,RB
J. Kamata,32,60,Japan,Kashiwa Reysol,€120K,€2K,Right,2.0,LCB
C. Ojeda,19,60,Argentina,Club Atlético Talleres,€450K,€1K,Left,28.0,LW
H. Ide,24,60,Japan,Gamba Osaka,€280K,€2K,Right,24.0,CAM
Kim Gyeong Min,21,60,Korea Republic,Jeonnam Dragons,€350K,€1K,Right,18.0,ST
J. David,18,60,Germany,Hamburger SV,€375K,€1K,Right,34.0,CDM
T. Almada,17,60,Argentina,Vélez Sarsfield,€400K,€1K,Right,23.0,ST
K. Riksvold,24,60,Norway,Ranheim Fotball,€260K,€1K,Right,20.0,RW
M. Acikgöz,18,60,Turkey,Beşiktaş JK,€375K,€3K,Right,43.0,CM
A. Poggenborg,34,60,Germany,SC Fortuna Köln,€80K,€1K,Right,33.0,GK
A. Tutte,27,60,England,Morecambe,€210K,€2K,Right,6.0,CM
F. Costa,29,60,Argentina,Patronato,€160K,€2K,Right,21.0,GK
F. Buntić,21,60,Croatia,FC Ingolstadt 04,€260K,€2K,Left,24.0,GK
M. Ashimeru,20,60,Ghana,FC St. Gallen,€450K,€4K,Right,4.0,LCM
R. Lauwers,19,60,Belgium,Willem II,€350K,€1K,Right,32.0,CAM
Sebas Moyano,21,60,Spain,Córdoba CF,€400K,€1K,Right,27.0,RM
M. Al Otaibi,25,60,Saudi Arabia,Al Wehda,€250K,€4K,Left,7.0,LM
S. McLoughlin,21,60,Republic of Ireland,Cork City,€350K,€1K,Left,29.0,LCB
T. Matsuda,23,60,Japan,Shonan Bellmare,€280K,€1K,Right,18.0,CAM
D. Fitz,19,60,Austria,FK Austria Wien,€450K,€1K,Right,36.0,CAM
A. Barry,25,60,Republic of Ireland,Cork City,€230K,€1K,Left,5.0,CB
B. Nordström,22,60,Sweden,IFK Göteborg,€270K,€1K,Left,3.0,LWB
M. Sarkaria,21,60,Austria,FK Austria Wien,€325K,€2K,Left,39.0,CAM
F. Pangop,25,60,Cameroon,Minnesota United FC,€260K,€1K,Right,19.0,LW
F. Sachpekidis,20,60,Sweden,Kalmar FF,€375K,€1K,Right,24.0,LM
M. Mølvadgaard,18,60,Denmark,Randers FC,€375K,€1K,Right,70.0,ST
M. Grødem,19,60,Norway,Vålerenga Fotball,€350K,€1K,Right,29.0,LM
M. Merghem,20,60,France,La Berrichonne de Châteauroux,€325K,€1K,Right,29.0,LW
B. Galván,17,60,Argentina,Club Atlético Colón,€425K,€1K,Right,29.0,ST
P. Perina,26,60,Italy,Cosenza,€170K,€1K,Right,60.0,GK
C. Jacob,21,60,France,Stade Brestois 29,€290K,€1K,Right,25.0,CB
J. Pereyra,19,60,Argentina,Rosario Central,€450K,€1K,Left,7.0,CM
J. Hou Sæter,20,60,Norway,Stabæk Fotball,€450K,€1K,Right,8.0,RM
S. Lebus,22,60,Argentina,Unión de Santa Fe,€325K,€2K,Right,19.0,RM
M. Dimun,21,60,Slovakia,Cracovia,€350K,€1K,Right,8.0,CDM
D. Corcoran,29,60,Republic of Ireland,Bohemian FC,€210K,€1K,Right,9.0,ST
E. Cantú,19,60,Mexico,Monterrey,€350K,€3K,Right,88.0,CM
C. Beardsley,34,60,England,Burton Albion,€110K,€2K,Right,24.0,ST
S. Sinclair,30,60,England,Bristol Rovers,€190K,€2K,Right,24.0,CM
Y. Fekir,21,60,France,Olympique Lyonnais,€375K,€6K,Right,36.0,LW
S. Laiton,18,60,France,AJ Auxerre,€400K,€1K,Right,30.0,GK
C. Riascos,24,60,Colombia,Atlético Huila,€240K,€1K,Right,14.0,RB
D. Choinière,21,60,Canada,Montreal Impact,€300K,€1K,Right,17.0,LM
R. Mysak,26,60,Ukraine,Aarhus GF,€190K,€2K,Right,27.0,GK
M. Crowe,22,60,Wales,Preston North End,€230K,€1K,Right,13.0,GK
D. Fernández,20,60,Chile,Deportes Iquique,€290K,€1K,Right,24.0,CM
G. Gori,19,60,Italy,Foggia,€450K,€4K,Left,32.0,ST
C. McCarthy,20,60,Republic of Ireland,Cork City,€280K,€1K,Right,21.0,CB
Lee Tae Ho,27,60,Korea Republic,Gangwon FC,€200K,€1K,Right,5.0,CB
D. O'Shea,19,60,Republic of Ireland,Exeter City,€325K,€2K,Right,4.0,CB
Yeun Jong Gyu,20,60,Korea Republic,FC Seoul,€400K,€1K,Right,38.0,LM
F. Piszczek,23,60,Poland,Cracovia,€300K,€1K,Right,26.0,ST
M. Krauß,21,60,Germany,SpVgg Unterhaching,€325K,€1K,Right,19.0,RW
K. Lowe,32,60,England,Macclesfield Town,€120K,€2K,Right,4.0,RCB
S. Nigro,21,60,Australia,Brisbane Roar,€280K,€1K,Right,15.0,LB
S. Lavery,19,60,Northern Ireland,Everton,€450K,€6K,Right,63.0,ST
K. Bennetts,19,60,England,Borussia Mönchengladbach,€450K,€2K,Left,37.0,LM
A. Greene,28,60,Republic of Ireland,Shamrock Rovers,€210K,€1K,Left,22.0,ST
M. Zeidan,20,60,Sweden,IF Brommapojkarna,€350K,€1K,Left,8.0,CM
B. Bvuma,23,60,South Africa,Kaizer Chiefs,€240K,€1K,Right,44.0,GK
T. Pukhov,20,60,Russia,PFC CSKA Moscow,€350K,€1K,Left,70.0,CAM
N. Fadiga,18,60,Belgium,Club Brugge KV,€425K,€2K,Left,93.0,CAM
E. Durrell,28,60,England,Macclesfield Town,€210K,€2K,Right,7.0,RM
H. Gueye,19,60,Senegal,Chamois Niortais Football Club,€400K,€1K,Left,34.0,CB
M. Cerofolini,19,60,Italy,Cosenza,€375K,€2K,Right,1.0,GK
D. Fitzpatrick,28,60,England,Macclesfield Town,€160K,€2K,Left,3.0,LB
V. Theocharis,19,60,Greece,Panathinaikos FC,€325K,€1K,Right,23.0,CM
D. Evtimov,24,60,Bulgaria,Burton Albion,€190K,€1K,Left,26.0,GK
K. Yamga,21,60,France,La Berrichonne de Châteauroux,€325K,€2K,Right,14.0,ST
Liu Huan,29,60,China PR,Beijing Sinobo Guoan FC,€160K,€3K,Right,15.0,LB
P. McLain,29,60,United States,Chicago Fire,€140K,€1K,Right,32.0,GK
L. Bätge,20,60,Germany,FC Würzburger Kickers,€260K,€1K,Right,1.0,GK
G. Taylor,28,60,England,Cambridge United,€170K,€2K,Left,5.0,RCB
D. Pugh,35,60,England,Port Vale,€90K,€2K,Left,16.0,CM
F. Rohner,19,60,Switzerland,FC Zürich,€450K,€1K,Right,23.0,RM
M. García,19,60,Colombia,Deportivo Pasto,€300K,€1K,Right,16.0,RM
L. Valenti,19,60,Argentina,Club Atlético Lanús,€400K,€1K,Right,30.0,CB
Feng Jing,24,60,China PR,Chongqing Dangdai Lifan FC SWM Team,€260K,€1K,Right,7.0,RM
M. Kessel,33,60,Germany,SC Fortuna Köln,€130K,€1K,Left,7.0,LM
J. Sinisterra,19,60,Colombia,Club Atlético Lanús,€400K,€2K,Right,38.0,LW
V. Henry,24,60,France,Stade Brestois 29,€220K,€1K,Right,17.0,RB
C. Chastang,20,60,France,Clermont Foot 63,€250K,€1K,Right,34.0,CDM
M. Górski,28,60,Poland,Korona Kielce,€210K,€1K,Right,9.0,ST
C. Lewis,21,60,New Zealand,Scunthorpe United,€325K,€1K,Left,15.0,CAM
S. Jones,26,60,Wales,Cheltenham Town,€250K,€2K,Right,25.0,ST
S. Kono,25,60,Japan,V-Varen Nagasaki,€260K,€1K,Right,7.0,CAM
E. Oyeleke,25,60,England,Port Vale,€260K,€2K,Right,8.0,CM
G. Holohan,26,60,Republic of Ireland,Waterford FC,€260K,€1K,Right,8.0,CAM
J. Quezada,27,60,Chile,Unión Española,€170K,€1K,Right,12.0,GK
J. Romil,23,60,France,Valenciennes FC,€325K,€1K,Right,17.0,ST
R. Lawan,30,60,Sweden,Dalkurd FF,€190K,€1K,Right,7.0,CM
A. Canbaz,20,60,Turkey,Eintracht Braunschweig,€450K,€1K,Right,7.0,LW
M. Berden,20,60,Netherlands,Vitesse,€325K,€2K,Right,33.0,RW
A. Pattison,20,60,England,Yeovil Town,€325K,€5K,Right,17.0,LCM
O. Zanzala,21,60,Congo,Accrington Stanley,€350K,€1K,Right,9.0,LS
J. Kabongo,20,60,Denmark,Brøndby IF,€325K,€3K,Left,24.0,CB
D. Gojko,20,60,Poland,Piast Gliwice,€300K,€1K,Right,77.0,RM
Park Chang Jun,21,60,Korea Republic,Gangwon FC,€260K,€1K,Right,19.0,RB
M. Hingerl,22,60,Germany,SG Sonnenhof Großaspach,€325K,€1K,Right,19.0,CM
J. Chicco,20,60,Argentina,Boca Juniors,€425K,€2K,Right,40.0,CDM
Ke Zhao,29,60,China PR,Henan Jianye FC,€160K,€2K,Left,11.0,LWB
H. Tijanovich,22,60,Argentina,Gimnasia y Esgrima La Plata,€325K,€2K,Right,11.0,LS
N. Fröling,18,60,Sweden,Kalmar FF,€375K,€1K,Right,31.0,LS
P. Ng,22,60,England,Crewe Alexandra,€280K,€2K,Right,2.0,LCB
K. Miś,22,60,Poland,Wisła Płock,€240K,€1K,Right,22.0,LB
I. Musalami,29,60,Saudi Arabia,Al Hazem,€160K,€2K,Right,16.0,CDM
S. Asta,17,60,Germany,FC Augsburg,€400K,€1K,Right,26.0,RB
A. Verda,19,60,Mexico,Querétaro,€450K,€1K,Right,99.0,ST
B. Makendzhiev,29,60,Bulgaria,,€0,€0,Right,13.0,GK
A. Pululu,19,60,Angola,FC Basel 1893,€450K,€2K,Right,37.0,ST
R. Browne,22,60,Antigua & Barbuda,Yeovil Town,€280K,€1K,Right,7.0,LM
C. Odoi-Atsem,23,60,United States,DC United,€240K,€1K,Right,3.0,RB
D. Aymerich,23,60,Mexico,Puebla FC,€270K,€1K,Right,29.0,CM
A. Hollingen,23,60,Norway,IK Start,€270K,€1K,Right,16.0,CM
S. Doumbia,21,60,Ivory Coast,Grasshopper Club Zürich,€290K,€2K,Left,15.0,LB
N. Mbouhom,19,60,Cameroon,Eintracht Frankfurt,€375K,€3K,Left,32.0,CF
J. Morsay,20,60,Sweden,GIF Sundsvall,€325K,€1K,Right,32.0,RW
R. Frantsen,26,60,Denmark,AC Horsens,€220K,€2K,Right,12.0,RB
C. Siya,19,60,Germany,DSC Arminia Bielefeld,€450K,€1K,Left,37.0,CM
Yun Ji Hyeok,20,60,Korea Republic,Jeonbuk Hyundai Motors,€425K,€1K,Right,23.0,CB
J. Dörfler,21,60,Germany,KFC Uerdingen 05,€290K,€1K,Right,16.0,RM
A. Tiritiello,23,60,Italy,Cosenza,€280K,€1K,Right,23.0,CB
G. Bakırbaş,22,60,Turkey,Göztepe SK,€210K,€2K,Right,1.0,GK
A. Nathaniel-George,23,60,England,Crawley Town,€280K,€1K,Right,15.0,LM
Zhang Xiaobin,24,60,China PR,Jiangsu Suning FC,€270K,€3K,Right,12.0,CM
Zhang Sipeng,31,60,China PR,Guizhou Hengfeng FC,€130K,€2K,Right,30.0,GK
D. Chessa,25,60,Germany,KFC Uerdingen 05,€250K,€1K,Left,23.0,LM
Tao Yuan,25,60,China PR,Jiangsu Suning FC,€250K,€3K,Right,13.0,LW
M. Balcılar,22,60,Turkey,Çaykur Rizespor,€300K,€2K,Right,38.0,ST
N. Iwadate,29,60,Japan,Urawa Red Diamonds,€140K,€2K,Right,23.0,GK
A. Diallo,24,60,Guinea,Red Star FC,€280K,€1K,Left,7.0,LM
C. Miller,20,60,Scotland,Dundee FC,€400K,€5K,Left,17.0,LM
A. Lajami,22,60,Saudi Arabia,Al Fateh,€350K,€3K,Right,78.0,LCB
H. Fukushima,25,60,Japan,Urawa Red Diamonds,€190K,€1K,Left,28.0,GK
P. Soko,20,60,Cameroon,Club Atlas,€325K,€2K,Right,28.0,RM
M. Camara,20,60,France,AS Saint-Étienne,€325K,€3K,Right,8.0,CM
J. Álvarez,18,60,Argentina,River Plate,€425K,€2K,Right,9.0,ST
A. Nesbitt,21,60,Scotland,Milton Keynes Dons,€450K,€2K,Right,21.0,LM
B. Şen,19,60,Turkey,Galatasaray SK,€375K,€2K,Right,12.0,GK
L. Kosakiewicz,27,60,Poland,Korona Kielce,€170K,€1K,Right,21.0,LB
J. Mendive,21,60,Argentina,Club Atlético Huracán,€240K,€1K,Right,17.0,GK
Lee Jong Won,29,60,Korea Republic,Sangju Sangmu FC,€160K,€1K,Left,6.0,CDM
D. Hume,21,60,England,Sunderland,€290K,€1K,Left,33.0,LB
E. Besea,21,60,Ghana,Frosinone,€375K,€2K,Right,31.0,CM
F. Núñez,22,60,Argentina,Godoy Cruz,€325K,€2K,Right,23.0,RM
E. Dahl Reitan,20,60,Norway,Rosenborg BK,€400K,€1K,Right,21.0,RB
A. Bianchimano,21,60,Italy,Perugia,€350K,€1K,Right,20.0,ST
J. Vreman,20,60,Netherlands,De Graafschap,€280K,€1K,Right,37.0,CB
M. Di Gennaro,24,60,Italy,Livorno,€250K,€1K,Right,4.0,RCB
D. Love,23,60,Scotland,Sunderland,€240K,€2K,Right,18.0,RB
C. Torres,22,60,Mexico,Club León,€290K,€3K,Right,3.0,CB
R. Dickie,22,60,England,Oxford United,€260K,€2K,Right,4.0,LCB
Pablo Ramón,17,60,Spain,RCD Mallorca,€400K,€1K,Right,32.0,CB
G. Güney,19,60,Turkey,Galatasaray SK,€400K,€3K,Right,40.0,CDM
T. Iida,23,60,Japan,Shimizu S-Pulse,€220K,€1K,Right,27.0,RB
F. Faist,29,60,Austria,TSV Hartberg,€140K,€1K,Left,21.0,GK
Sergio Moreno,19,60,Spain,Rayo Vallecano,€400K,€2K,Right,29.0,ST
G. Vrioni,19,60,Italy,Venezia FC,€325K,€3K,Right,32.0,ST
W. Tchimbembé,20,60,France,ESTAC Troyes,€450K,€1K,Left,12.0,RM
M. Abu Shararah,27,60,Saudi Arabia,Al Raed,€240K,€3K,Right,9.0,ST
